"","Num","QText","Sender","Recipient","Attribute","Subject","TP"
"48",752,"Is it acceptable for the university IT staff to share the student's photo with the student's parents if the university IT staff let the student know?","IT_staff","parents","photo","student",4
"49",753,"Is it acceptable for the student's academic advisor to share the student's transcript with the registrar if the student's academic advisor let the student know?","advisor","registrar","transcript","student",4
"50",754,"Is it acceptable for the student's academic advisor to share the student's record of attendance with the university IT staff if the student is performing poorly?","advisor","IT_staff","attendance","student",2
"51",755,"Is it acceptable for the student's classmates to share the student's transcript with the student's parents with the requirement of confidentiality?","classmates","parents","transcript","student",1
"52",756,"Is it acceptable for the student's academic advisor to share the student's photo with the university librarian if the student's academic advisor let the student know?","advisor","librarian","photo","student",4
"53",757,"Is it acceptable for the student's professor to share the student's transcript with the university IT staff if requested by the university IT staff?","professor","IT_staff","transcript","student",3
"54",758,"Is it acceptable for the student's professor to share the student's record of attendance with the university IT staff if the student is performing poorly?","professor","IT_staff","attendance","student",2
"55",759,"Is it acceptable for the student's academic advisor to share the student's photo with the student's parents if the student is performing poorly?","advisor","parents","photo","student",2
"56",760,"Is it acceptable for the student's classmates to share the student's photo with the student's academic advisor if the student's classmates let the student know?","classmates","advisor","photo","student",4
"57",761,"Is it acceptable for the student's professor to share the student's record of attendance with the department chair if the student is performing poorly?","professor","department_chair","attendance","student",2
"58",762,"Is it acceptable for the registrar to share the student's grades with the university IT staff with the requirement of confidentiality?","registrar","IT_staff","grades","student",1
"59",763,"Is it acceptable for the student's TA to share the student's level of participation in class with the registrar if the student's TA let the student know?","TA","registrar","participation","student",4
"60",764,"Is it acceptable for the student's academic advisor to share the student's photo with the student's classmates with the requirement of confidentiality?","advisor","classmates","photo","student",1
"61",765,"Is it acceptable for the student's professor to share the student's name with the student's classmates if requested by the student's classmates?","professor","classmates","name","student",3
"62",766,"Is it acceptable for the student's TA to share the student's record of attendance with the student's parents if the student's TA let the student know?","TA","parents","attendance","student",4
"63",767,"Is it acceptable for the student's academic advisor to share the student's record of attendance with the student's professor if requested by the student's professor?","advisor","professor","attendance","student",3
"64",768,"Is it acceptable for the registrar to share the student's address with the university IT staff if the registrar asked for the student's permission?","registrar","IT_staff","address","student",5
"65",769,"Is it acceptable for the student's TA to share the student's record of attendance with the registrar if the student is performing poorly?","TA","registrar","attendance","student",2
"66",770,"Is it acceptable for the student's TA to share the student's photo with the student's classmates with the requirement of confidentiality?","TA","classmates","photo","student",1
"67",771,"Is it acceptable for the student's professor to share the student's transcript with the student's academic advisor if the student is performing poorly?","professor","advisor","transcript","student",2
"68",772,"Is it acceptable for the university librarian to share the student's name with the student's classmates if the university librarian asked for the student's permission?","librarian","classmates","name","student",5
"69",773,"Is it acceptable for the university librarian to share the student's photo with the student's TA with the requirement of confidentiality?","librarian","TA","photo","student",1
"70",774,"Is it acceptable for the student's professor to share the student's level of participation in class with the university IT staff if the student's professor let the student know?","professor","IT_staff","participation","student",4
"71",775,"Is it acceptable for the student's TA to share the student's transcript with the student's parents with the requirement of confidentiality?","TA","parents","transcript","student",1
"72",776,"Is it acceptable for the student's classmates to share the student's transcript with graduate schools if the student is performing poorly?","classmates","graduate_schools","transcript","student",2
"73",777,"Is it acceptable for the student's professor to share the student's photo with the university IT staff if the student's professor asked for the student's permission?","professor","IT_staff","photo","student",5
"74",778,"Is it acceptable for the student's professor to share the student's photo with the student's TA if the student's professor let the student know?","professor","TA","photo","student",4
"75",779,"Is it acceptable for the student's professor to share the student's level of participation in class with the student's academic advisor with the requirement of confidentiality?","professor","advisor","participation","student",1
"76",780,"Is it acceptable for the university IT staff to share the student's photo with the student's academic advisor if the student is performing poorly?","IT_staff","advisor","photo","student",2
"77",781,"Is it acceptable for the student's academic advisor to share the student's name with the university librarian with the requirement of confidentiality?","advisor","librarian","name","student",1
"78",782,"Is it acceptable for the student's professor to share the student's email address with the student's academic advisor if the student's professor asked for the student's permission?","professor","advisor","email","student",5
"79",783,"Is it acceptable for the student's classmates to share the student's grades with the student's parents if requested by the student's parents?","classmates","parents","grades","student",3
"80",784,"Is it acceptable for the student's academic advisor to share the student's email address with graduate schools if the student is performing poorly?","advisor","graduate_schools","email","student",2
"81",785,"Is it acceptable for the student's classmates to share the student's record of attendance with the university librarian if the student's classmates asked for the student's permission?","classmates","librarian","attendance","student",5
"82",786,"Is it acceptable for the student's professor to share the student's grades with the university librarian if requested by the university librarian?","professor","librarian","grades","student",3
"83",787,"Is it acceptable for the student's TA to share the student's name with the student's professor if the student's TA let the student know?","TA","professor","name","student",4
"84",788,"Is it acceptable for the university librarian to share the student's library records with the student's academic advisor if the student is performing poorly?","librarian","advisor","library_record","student",2
"85",789,"Is it acceptable for the student's TA to share the student's term papers with the student's professor if the student is performing poorly?","TA","professor","term_papers","student",2
"86",790,"Is it acceptable for the student's professor to share the student's level of participation in class with the student's parents if the student's professor asked for the student's permission?","professor","parents","participation","student",5
"87",791,"Is it acceptable for the registrar to share the student's grades with the department chair if the registrar let the student know?","registrar","department_chair","grades","student",4
"88",792,"Is it acceptable for the student's classmates to share the student's name with the university IT staff if requested by the university IT staff?","classmates","IT_staff","name","student",3
"89",793,"Is it acceptable for the student's professor to share the student's level of participation in class with the university IT staff if the student's professor asked for the student's permission?","professor","IT_staff","participation","student",5
"90",794,"Is it acceptable for the student's professor to share the student's transcript with the student's academic advisor if the student's professor asked for the student's permission?","professor","advisor","transcript","student",5
"91",795,"Is it acceptable for the student's TA to share the student's email address with the student's professor with the requirement of confidentiality?","TA","professor","email","student",1
"92",796,"Is it acceptable for the registrar to share the student's photo with graduate schools if requested by graduate schools?","registrar","graduate_schools","photo","student",3
"93",797,"Is it acceptable for the student's TA to share the student's contents posted on online learning systems with the student's professor if the student's TA asked for the student's permission?","TA","professor","contents_online","student",5
"94",798,"Is it acceptable for the registrar to share the student's name with graduate schools if the registrar asked for the student's permission?","registrar","graduate_schools","name","student",5
"95",799,"Is it acceptable for the student's classmates to share the student's transcript with the student's parents if requested by the student's parents?","classmates","parents","transcript","student",3
"96",800,"Is it acceptable for the student's TA to share the student's term papers with the university IT staff if the student's TA asked for the student's permission?","TA","IT_staff","term_papers","student",5
"97",801,"Is it acceptable for the student's classmates to share the student's contents posted on online learning systems with graduate schools if the student is performing poorly?","classmates","graduate_schools","contents_online","student",2
"98",802,"Is it acceptable for the university librarian to share the student's email address with the university IT staff if the university librarian asked for the student's permission?","librarian","IT_staff","email","student",5
"99",803,"Is it acceptable for the student's classmates to share the student's email address with the university librarian with the requirement of confidentiality?","classmates","librarian","email","student",1
"100",804,"Is it acceptable for the student's professor to share the student's grades with the student's classmates if the student is performing poorly?","professor","classmates","grades","student",2
"101",805,"Is it acceptable for the university IT staff to share the student's contents posted on online learning systems with graduate schools if the university IT staff let the student know?","IT_staff","graduate_schools","contents_online","student",4
"102",806,"Is it acceptable for the student's TA to share the student's email address with the student's academic advisor if requested by the student's academic advisor?","TA","advisor","email","student",3
"103",807,"Is it acceptable for the student's classmates to share the student's photo with the university IT staff if requested by the university IT staff?","classmates","IT_staff","photo","student",3
"104",808,"Is it acceptable for the student's professor to share the student's record of attendance with the registrar if requested by the registrar?","professor","registrar","attendance","student",3
"105",809,"Is it acceptable for the student's TA to share the student's term papers with the university librarian if the student's TA let the student know?","TA","librarian","term_papers","student",4
"106",810,"Is it acceptable for the registrar to share the student's transcript with the university librarian if the registrar asked for the student's permission?","registrar","librarian","transcript","student",5
"107",811,"Is it acceptable for the student's classmates to share the student's name with graduate schools if requested by graduate schools?","classmates","graduate_schools","name","student",3
"108",812,"Is it acceptable for the registrar to share the student's name with the university IT staff if the student is performing poorly?","registrar","IT_staff","name","student",2
"109",813,"Is it acceptable for the student's classmates to share the student's level of participation in class with the student's TA if the student is performing poorly?","classmates","TA","participation","student",2
"110",814,"Is it acceptable for the student's classmates to share the student's grades with graduate schools with the requirement of confidentiality?","classmates","graduate_schools","grades","student",1
"111",815,"Is it acceptable for the student's professor to share the student's grades with the student's TA with the requirement of confidentiality?","professor","TA","grades","student",1
"112",816,"Is it acceptable for the registrar to share the student's photo with the student's professor if the registrar asked for the student's permission?","registrar","professor","photo","student",5
"113",817,"Is it acceptable for the student's professor to share the student's level of participation in class with the student's classmates if the student's professor let the student know?","professor","classmates","participation","student",4
"114",818,"Is it acceptable for the student's professor to share the student's email address with the university librarian if requested by the university librarian?","professor","librarian","email","student",3
"115",819,"Is it acceptable for the student's classmates to share the student's record of attendance with the student's parents if the student's classmates let the student know?","classmates","parents","attendance","student",4
"116",820,"Is it acceptable for the student's TA to share the student's transcript with the student's academic advisor if requested by the student's academic advisor?","TA","advisor","transcript","student",3
"117",821,"Is it acceptable for the student's professor to share the student's record of attendance with the university librarian if requested by the university librarian?","professor","librarian","attendance","student",3
"118",822,"Is it acceptable for the registrar to share the student's grades with the department chair if requested by the department chair?","registrar","department_chair","grades","student",3
"119",823,"Is it acceptable for the student's professor to share the student's name with the university IT staff if the student's professor asked for the student's permission?","professor","IT_staff","name","student",5
"120",824,"Is it acceptable for the registrar to share the student's name with the department chair if the registrar asked for the student's permission?","registrar","department_chair","name","student",5
"121",825,"Is it acceptable for the university IT staff to share the student's name with graduate schools with the requirement of confidentiality?","IT_staff","graduate_schools","name","student",1
"122",826,"Is it acceptable for the student's academic advisor to share the student's level of participation in class with the student's professor if the student's academic advisor asked for the student's permission?","advisor","professor","participation","student",5
"123",827,"Is it acceptable for the registrar to share the student's name with the student's professor with the requirement of confidentiality?","registrar","professor","name","student",1
"124",828,"Is it acceptable for the student's classmates to share the student's email address with the university librarian if the student's classmates asked for the student's permission?","classmates","librarian","email","student",5
"125",829,"Is it acceptable for the student's professor to share the student's term papers with the university IT staff if the student's professor asked for the student's permission?","professor","IT_staff","term_papers","student",5
"126",830,"Is it acceptable for the registrar to share the student's grades with the student's classmates if the registrar asked for the student's permission?","registrar","classmates","grades","student",5
"127",831,"Is it acceptable for the registrar to share the student's email address with the student's parents if requested by the student's parents?","registrar","parents","email","student",3
"128",832,"Is it acceptable for the student's professor to share the student's record of attendance with graduate schools if requested by graduate schools?","professor","graduate_schools","attendance","student",3
"129",833,"Is it acceptable for the student's professor to share the student's term papers with the student's parents with the requirement of confidentiality?","professor","parents","term_papers","student",1
"130",834,"Is it acceptable for the student's academic advisor to share the student's record of attendance with the department chair if requested by the department chair?","advisor","department_chair","attendance","student",3
"131",835,"Is it acceptable for the student's classmates to share the student's photo with the student's parents with the requirement of confidentiality?","classmates","parents","photo","student",1
"132",836,"Is it acceptable for the student's TA to share the student's name with the student's classmates with the requirement of confidentiality?","TA","classmates","name","student",1
"133",837,"Is it acceptable for the student's professor to share the student's grades with graduate schools if requested by graduate schools?","professor","graduate_schools","grades","student",3
"134",838,"Is it acceptable for the student's classmates to share the student's grades with the student's academic advisor with the requirement of confidentiality?","classmates","advisor","grades","student",1
"135",839,"Is it acceptable for the student's professor to share the student's term papers with the student's academic advisor if the student's professor let the student know?","professor","advisor","term_papers","student",4
"136",840,"Is it acceptable for the registrar to share the student's grades with graduate schools if requested by graduate schools?","registrar","graduate_schools","grades","student",3
"137",841,"Is it acceptable for the student's academic advisor to share the student's record of attendance with graduate schools if the student's academic advisor asked for the student's permission?","advisor","graduate_schools","attendance","student",5
"138",842,"Is it acceptable for the student's classmates to share the student's contents posted on online learning systems with the student's parents with the requirement of confidentiality?","classmates","parents","contents_online","student",1
"139",843,"Is it acceptable for the student's classmates to share the student's level of participation in class with the university IT staff if the student's classmates asked for the student's permission?","classmates","IT_staff","participation","student",5
"140",844,"Is it acceptable for the student's professor to share the student's grades with the student's classmates if the student's professor asked for the student's permission?","professor","classmates","grades","student",5
"141",845,"Is it acceptable for the registrar to share the student's name with the student's TA if requested by the student's TA?","registrar","TA","name","student",3
"142",846,"Is it acceptable for the registrar to share the student's address with graduate schools if the registrar asked for the student's permission?","registrar","graduate_schools","address","student",5
"143",847,"Is it acceptable for the student's classmates to share the student's email address with graduate schools if the student's classmates asked for the student's permission?","classmates","graduate_schools","email","student",5
"144",848,"Is it acceptable for the registrar to share the student's email address with graduate schools if the registrar let the student know?","registrar","graduate_schools","email","student",4
"145",849,"Is it acceptable for the student's professor to share the student's grades with the student's academic advisor if requested by the student's academic advisor?","professor","advisor","grades","student",3
"146",850,"Is it acceptable for the student's TA to share the student's level of participation in class with the student's professor if requested by the student's professor?","TA","professor","participation","student",3
"147",851,"Is it acceptable for the university IT staff to share the student's name with the student's parents if the student is performing poorly?","IT_staff","parents","name","student",2
"148",852,"Is it acceptable for the student's professor to share the student's photo with the university IT staff if the student is performing poorly?","professor","IT_staff","photo","student",2
"149",853,"Is it acceptable for the student's professor to share the student's grades with the university IT staff if the student's professor let the student know?","professor","IT_staff","grades","student",4
"150",854,"Is it acceptable for the student's professor to share the student's level of participation in class with the registrar if the student's professor let the student know?","professor","registrar","participation","student",4
"151",855,"Is it acceptable for the student's classmates to share the student's level of participation in class with the student's academic advisor if the student is performing poorly?","classmates","advisor","participation","student",2
"152",856,"Is it acceptable for the university librarian to share the student's photo with the university IT staff if the university librarian let the student know?","librarian","IT_staff","photo","student",4
"153",857,"Is it acceptable for the student's professor to share the student's name with the department chair if the student's professor let the student know?","professor","department_chair","name","student",4
"154",858,"Is it acceptable for the university librarian to share the student's photo with the department chair if requested by the department chair?","librarian","department_chair","photo","student",3
"155",859,"Is it acceptable for the student's classmates to share the student's grades with the university librarian with the requirement of confidentiality?","classmates","librarian","grades","student",1
"156",860,"Is it acceptable for the registrar to share the student's email address with the student's TA with the requirement of confidentiality?","registrar","TA","email","student",1
"157",861,"Is it acceptable for the university IT staff to share the student's photo with the university librarian with the requirement of confidentiality?","IT_staff","librarian","photo","student",1
"158",862,"Is it acceptable for the student's classmates to share the student's name with the university IT staff if the student is performing poorly?","classmates","IT_staff","name","student",2
"159",863,"Is it acceptable for the student's professor to share the student's grades with the registrar if the student's professor asked for the student's permission?","professor","registrar","grades","student",5
"160",864,"Is it acceptable for the student's academic advisor to share the student's name with the university librarian if requested by the university librarian?","advisor","librarian","name","student",3
"161",865,"Is it acceptable for the student's classmates to share the student's record of attendance with graduate schools if the student is performing poorly?","classmates","graduate_schools","attendance","student",2
"162",866,"Is it acceptable for the university librarian to share the student's email address with the student's TA if requested by the student's TA?","librarian","TA","email","student",3
"163",867,"Is it acceptable for the student's professor to share the student's record of attendance with the student's parents if the student is performing poorly?","professor","parents","attendance","student",2
"164",868,"Is it acceptable for the student's TA to share the student's grades with the registrar if the student is performing poorly?","TA","registrar","grades","student",2
"165",869,"Is it acceptable for the student's professor to share the student's level of participation in class with the student's TA if the student is performing poorly?","professor","TA","participation","student",2
"166",870,"Is it acceptable for the student's classmates to share the student's email address with the student's TA if the student's classmates asked for the student's permission?","classmates","TA","email","student",5
"167",871,"Is it acceptable for the student's academic advisor to share the student's transcript with the department chair with the requirement of confidentiality?","advisor","department_chair","transcript","student",1
"168",872,"Is it acceptable for the student's academic advisor to share the student's level of participation in class with the university librarian if the student is performing poorly?","advisor","librarian","participation","student",2
"169",873,"Is it acceptable for the student's professor to share the student's grades with the student's parents if the student is performing poorly?","professor","parents","grades","student",2
"170",874,"Is it acceptable for the student's professor to share the student's transcript with the student's TA if requested by the student's TA?","professor","TA","transcript","student",3
"171",875,"Is it acceptable for the student's professor to share the student's photo with the student's parents with the requirement of confidentiality?","professor","parents","photo","student",1
"172",876,"Is it acceptable for the student's professor to share the student's grades with the student's TA if requested by the student's TA?","professor","TA","grades","student",3
"173",877,"Is it acceptable for the student's classmates to share the student's level of participation in class with the student's professor if the student's classmates asked for the student's permission?","classmates","professor","participation","student",5
"174",878,"Is it acceptable for the student's academic advisor to share the student's email address with the registrar if the student is performing poorly?","advisor","registrar","email","student",2
"175",879,"Is it acceptable for the student's classmates to share the student's email address with the university librarian if the student is performing poorly?","classmates","librarian","email","student",2
"176",880,"Is it acceptable for the registrar to share the student's transcript with graduate schools if the registrar let the student know?","registrar","graduate_schools","transcript","student",4
"177",881,"Is it acceptable for the student's academic advisor to share the student's transcript with the university librarian with the requirement of confidentiality?","advisor","librarian","transcript","student",1
"178",882,"Is it acceptable for the registrar to share the student's photo with the student's classmates with the requirement of confidentiality?","registrar","classmates","photo","student",1
"179",883,"Is it acceptable for the university IT staff to share the student's contents posted on online learning systems with the student's TA with the requirement of confidentiality?","IT_staff","TA","contents_online","student",1
"180",884,"Is it acceptable for the student's classmates to share the student's level of participation in class with the registrar if the student is performing poorly?","classmates","registrar","participation","student",2
"181",885,"Is it acceptable for the student's professor to share the student's name with the university IT staff with the requirement of confidentiality?","professor","IT_staff","name","student",1
"182",886,"Is it acceptable for the student's TA to share the student's record of attendance with the student's academic advisor if the student's TA asked for the student's permission?","TA","advisor","attendance","student",5
"183",887,"Is it acceptable for the student's academic advisor to share the student's grades with the university librarian if the student's academic advisor let the student know?","advisor","librarian","grades","student",4
"184",888,"Is it acceptable for the student's professor to share the student's transcript with the department chair if the student is performing poorly?","professor","department_chair","transcript","student",2
"185",889,"Is it acceptable for the university librarian to share the student's photo with the student's parents if requested by the student's parents?","librarian","parents","photo","student",3
"186",890,"Is it acceptable for the student's TA to share the student's transcript with the university IT staff if the student is performing poorly?","TA","IT_staff","transcript","student",2
"187",891,"Is it acceptable for the student's TA to share the student's contents posted on online learning systems with the student's parents if the student is performing poorly?","TA","parents","contents_online","student",2
"188",892,"Is it acceptable for the student's TA to share the student's record of attendance with the student's classmates with the requirement of confidentiality?","TA","classmates","attendance","student",1
"189",893,"Is it acceptable for the university librarian to share the student's library records with the department chair if the university librarian let the student know?","librarian","department_chair","library_record","student",4
"190",894,"Is it acceptable for the student's TA to share the student's term papers with the university IT staff if the student is performing poorly?","TA","IT_staff","term_papers","student",2
"191",895,"Is it acceptable for the university IT staff to share the student's contents posted on online learning systems with the student's professor if the student is performing poorly?","IT_staff","professor","contents_online","student",2
"192",896,"Is it acceptable for the student's professor to share the student's photo with the university librarian if the student's professor asked for the student's permission?","professor","librarian","photo","student",5
"193",897,"Is it acceptable for the student's classmates to share the student's transcript with the student's professor if requested by the student's professor?","classmates","professor","transcript","student",3
"194",898,"Is it acceptable for the student's TA to share the student's contents posted on online learning systems with graduate schools if the student's TA asked for the student's permission?","TA","graduate_schools","contents_online","student",5
"195",899,"Is it acceptable for the student's academic advisor to share the student's grades with the student's classmates if the student is performing poorly?","advisor","classmates","grades","student",2
"196",900,"Is it acceptable for the student's classmates to share the student's photo with the student's TA if the student is performing poorly?","classmates","TA","photo","student",2
"197",901,"Is it acceptable for the student's academic advisor to share the student's level of participation in class with the student's professor with the requirement of confidentiality?","advisor","professor","participation","student",1
"198",902,"Is it acceptable for the student's academic advisor to share the student's email address with the registrar if the student's academic advisor let the student know?","advisor","registrar","email","student",4
"199",903,"Is it acceptable for the student's TA to share the student's contents posted on online learning systems with the department chair if requested by the department chair?","TA","department_chair","contents_online","student",3
"200",904,"Is it acceptable for the student's professor to share the student's transcript with the university IT staff with the requirement of confidentiality?","professor","IT_staff","transcript","student",1
"201",905,"Is it acceptable for the registrar to share the student's email address with graduate schools if requested by graduate schools?","registrar","graduate_schools","email","student",3
"202",906,"Is it acceptable for the student's academic advisor to share the student's grades with graduate schools with the requirement of confidentiality?","advisor","graduate_schools","grades","student",1
"203",907,"Is it acceptable for the university librarian to share the student's email address with the student's academic advisor with the requirement of confidentiality?","librarian","advisor","email","student",1
"204",908,"Is it acceptable for the student's classmates to share the student's photo with the department chair if the student's classmates let the student know?","classmates","department_chair","photo","student",4
"205",909,"Is it acceptable for the registrar to share the student's transcript with the department chair if the student is performing poorly?","registrar","department_chair","transcript","student",2
"206",910,"Is it acceptable for the student's academic advisor to share the student's level of participation in class with the student's parents if requested by the student's parents?","advisor","parents","participation","student",3
"207",911,"Is it acceptable for the registrar to share the student's address with the university librarian if the registrar let the student know?","registrar","librarian","address","student",4
"208",912,"Is it acceptable for the student's classmates to share the student's record of attendance with the student's academic advisor if the student's classmates asked for the student's permission?","classmates","advisor","attendance","student",5
"209",913,"Is it acceptable for the university librarian to share the student's library records with the student's parents if the student is performing poorly?","librarian","parents","library_record","student",2
"210",914,"Is it acceptable for the registrar to share the student's grades with the student's TA if requested by the student's TA?","registrar","TA","grades","student",3
"211",915,"Is it acceptable for the university librarian to share the student's email address with the student's professor if the university librarian asked for the student's permission?","librarian","professor","email","student",5
"212",916,"Is it acceptable for the student's TA to share the student's name with the university librarian if the student's TA let the student know?","TA","librarian","name","student",4
"213",917,"Is it acceptable for the registrar to share the student's name with graduate schools if the registrar let the student know?","registrar","graduate_schools","name","student",4
